NUM_BORD,REF_CTR_BORD,ANNEE_BORD,REF_ADH_BORD,REF_ACH_BORD,DAT_BORD,NB_DOC_BORD,MONT_TOT_BORD,DEVISE_ACH,SOLDE_BORD,VALIDE_BORD,DAT_SAISIE_BORD,EMETTEUR
06,55,2016,249,,2016-08-15,7,9113.336,,,True,2016-08-16,
06,57,2017,309,,2017-06-12,57,333416.552,,,True,2017-06-12,
06,58,2017,318,,2017-01-18,10,33338.53,,,True,2017-01-19,
06,60,2017,338,,2017-07-27,7,37543.29,,,True,2017-07-27,
06,61,2017,378,,2017-02-27,1,8638.1,,,True,2017-02-28,
06,63,2018,211,,2018-11-14,2,37304.433,,,True,2018-11-15,
06,64,2017,442,,2017-02-28,7,8714.372,,,True,2017-02-28,
06,66,2017,447,,2017-05-29,1,11056.817,,,True,2017-05-29,
06,67,2017,448,,2017-08-04,1,164200.8,,,True,2017-08-04,
06,68,2017,456,,2017-07-26,1,30543.12,,,True,2017-07-26,
06,70,2018,473,,2018-05-10,2,326504.256,,,True,2018-05-10,
06,71,2017,484,,2017-09-11,2,193938.492,,,True,2017-09-11,
06,73,2017,511,,2017-09-06,8,25572.92,,,True,2017-09-06,
06,84,2018,572,,2018-10-25,1,78124.1,,,True,2018-10-25,
06,94,2018,685,,2018-10-18,1,5237.304,,,True,2018-10-18,
06,98,2019,824,,2019-05-03,20,14191.946,,,True,2019-05-03,
06,100,2019,842,,2019-04-08,3,13183.037,,,True,2019-04-08,
06,101,2019,539,,2019-09-27,7,74854.239,,,True,2019-09-27,
06,102,2019,873,,2019-04-18,1,99794.0,,,True,2019-04-18,
06,103,2019,881,,2019-05-22,1,17000.0,,,True,2019-05-22,
06,113,2019,999,,2019-11-13,1,2857.5,,,True,2019-11-13,
06,120,2019,1030,,2019-10-03,3,14709.477,,,True,2019-10-03,
06,121,2019,1031,,2019-10-25,14,29092.5,,,True,2019-10-25,
06,122,2020,1045,,2020-02-13,2,60410.159,,,True,2020-02-13,
06,123,2019,1057,,2019-12-02,18,14707.052,,,True,2019-12-02,
06,125,2020,1097,,2020-01-24,2,78558.583,,,True,2020-01-24,
06,126,2020,1136,,2020-07-29,7,25663.724,,,True,2020-07-29,
06,128,2020,1159,,2020-07-20,1,84864.654,,,True,2020-07-20,
064,45,2019,162,,2019-12-03,2,190634.099,,,True,2019-12-03,
07,40,2017,183,,2017-04-27,1,200000.0,,,True,2017-04-27,
07,47,2018,200,,2018-09-21,1,24882.6,,,True,2018-09-21,
07,48,2015,202,,2015-12-15,1,4391.052,,,True,2015-12-19,
07,50,2016,204,,2016-04-07,2,30245.09,,,True,2016-04-08,
07,53,2016,227,,2016-05-05,12,25965.139,,,True,2016-05-06,
07,54,2017,246,,2017-09-04,1,59979.9,,,True,2017-09-04,
07,55,2016,249,,2016-08-19,13,14525.611,,,True,2016-08-22,
07,56,2017,252,,2017-01-21,1,1949.973,,,True,2017-01-23,
07,57,2017,309,,2017-06-28,58,331776.908,,,True,2017-06-28,
07,58,2017,318,,2017-01-30,4,8894.85,,,True,2017-01-30,
07,60,2017,338,,2017-08-28,7,31689.137,,,True,2017-08-28,
07,61,2017,378,,2017-03-09,5,9191.013,,,True,2017-03-11,
07,63,2019,211,,2019-11-18,1,80000.0,,,True,2019-11-18,
07,64,2017,442,,2017-03-09,14,29522.829,,,True,2017-03-09,
07,66,2017,447,,2017-06-13,1,15173.5,,,True,2017-06-13,
