ID_HISTORIQUE,DATE_ACTION,ACTION,T_TABLE,ID_ENREGISTREMENT,LOGIN_USER,IP_PC,NOM_PC,REF_CTR_HIST,REF_IND_HIST,ABREV_ROLE_HIST,ID_HISTORIQUEE
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12418,cyrine,10.2.115.20,10.2.115.20,73,987,Creation Encaissement 8032436,818
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12419,cyrine,10.2.115.20,10.2.115.20,98,12,Creation Encaissement 4505114,819
0,2020-01-27,Creation bordereau,T_BORDEREAU,211,cyrine,10.2.115.20,10.2.115.20,41,8,Creation bordereau 211,820
0,2020-01-27,Creation bordereau,T_BORDEREAU,238,cyrine,10.2.115.20,10.2.115.20,42,9,Creation bordereau 238,821
0,2020-01-27,Valider bordereau,T_BORDEREAU,211,cyrine,10.2.115.20,10.2.115.20,41,8,Valider bordereau 211,822
0,2020-01-27,Valider bordereau,T_BORDEREAU,238,cyrine,10.2.115.20,10.2.115.20,42,9,Valider bordereau 238,823
0,2020-01-27,Creation bordereau,T_BORDEREAU,40,cyrine,10.2.115.20,10.2.115.20,68,456,Creation bordereau 40,824
0,2020-01-27,Valider bordereau,T_BORDEREAU,40,cyrine,10.2.115.20,10.2.115.20,68,456,Valider bordereau 40,825
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12420,cyrine,10.2.115.20,10.2.115.20,68,460,Creation Encaissement 008633269272,826
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12421,cyrine,10.2.115.20,10.2.115.20,41,29,Creation Encaissement 9406838,827
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12422,cyrine,10.2.115.20,10.2.115.20,41,29,Creation Encaissement 9406839,828
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12423,cyrine,10.2.115.20,10.2.115.20,41,29,Creation Encaissement 9406840,829
